"LINE","BLUP_Yield_per_plant","BLUP_Panicle_number","BLUP_Grain_number_per_panicle","BLUP_Seed_setting_rate","BLUP_Grain_weight","BLUP_Heading_date","BLUP_Height","BLUP_Panicle_length","BLUP_Grain_length","BLUP_Grain_width"
"Z1",44.8188131121743,12.3187251039162,189.79620867198,0.822386528953987,27.2039436126823,87.3979759430097,114.352499296711,24.709168460853,8.29602548008891,2.83439596618441
"Z2",43.0386680812414,12.455530576851,168.37345803038,0.809381699311467,25.635913367557,91.7847083420108,90.8965327110964,22.57312815632,8.11829042174972,2.74741523223813
"Z3",45.52782937958,13.5499743603298,169.605003752695,0.816813030535764,26.401588955089,87.1670952904307,108.174034912172,24.9366757122234,9.20577986226179,2.49164485782312
"Z4",44.5457802900987,13.5499743603298,173.445582928314,0.803808200893244,25.5442156924035,89.4759018162208,115.721380627418,24.9998721709374,9.37584979679121,2.43287409164321
"Z5",44.8832691364839,13.2763634144601,161.43993242533,0.819599779744876,28.2263726906441,82.3186015862715,97.8519297427929,22.8638318664044,9.23979384916768,2.55793828207407
"Z6",44.770290037694,13.6867798332647,158.042300047966,0.809381699311467,27.378169195474,83.9347661543245,103.253461480174,23.9760895397707,9.56843603251186,2.46531555457452
"Z7",46.7923262160359,13.9603907791344,154.880223193374,0.838178107805619,27.6670168722076,92.2464696471689,101.662599393137,24.4311040425115,8.0483461669855,2.86918825976292
"Z8",44.2198790435894,12.7291415227207,153.03418480296,0.825173278163099,30.4958901506939,77.4701078821123,100.663685989649,23.1924534517171,9.18997054440413,2.72813842093112
"Z9",45.7081614026484,13.9603907791344,155.41790427796,0.830746776581322,26.0393831382325,92.7082309523269,102.143557698521,23.2619695563025,8.10583459555883,2.79537217744095
"Z10",44.2915773178215,13.413168887395,155.730271384244,0.802879284490206,29.7852331682541,80.9333176707975,98.4438784263416,23.1671748682315,9.40315680036355,2.58708858209931
"Z11",45.1505081586215,13.0027524685904,168.319689921921,0.823315445357024,28.9691238593877,89.0141405110627,110.874800780863,22.952306908604,9.27859853845467,2.53866147076706
"Z12",43.7027823991281,13.1395579415253,177.659978477026,0.788016622041612,25.7597052290143,86.9362146378517,111.910710977073,23.5716322040011,9.1238588515448,2.42017960614834
"Z13",42.4563911874782,12.5923360497859,174.426210811155,0.786158789235537,25.0169540602707,95.017037478117,99.5537822079953,21.8716474645946,8.08810899674872,2.73848207577878
"Z14",44.3777600918984,13.2763634144601,162.507613436152,0.823315445357024,23.9991098660666,93.4008729100639,92.7833691399076,22.794315761819,8.3343510991378,2.58520791758156
"Z15",47.2790054108231,13.5499743603298,177.75215237724,0.81495519772969,29.6751959580698,86.0126920275356,113.242595515058,24.5258987305825,8.53029082652522,2.95475849532088
