Taxa	Yield_per_plant	Panicle_number	Grain_number_per_panicle	Seed_setting_rate	Grain_weight	Heading_date	Height	Panicle_length	Grain_length	Grain_width
Z1287	-1.6396836967689	-1.05703565652743	0.231920538135156	-0.297965382412871	-1.22595877209186	0.843535447524931	-0.046995600936127	23.0597408884177	0.614595397800219	-2.43905887442128
Z1288	0.947520737991728	1.39843906734964	-1.03815738863725	0.640129589735927	-0.13547591073396	0.742422609172064	-0.136322591629933	23.2872481397881	0.0713668950113743	-0.926698688510904
Z1289	-1.96979286079487	-1.05703565652743	-1.64615300274914	-0.643221597286179	0.746850266850109	1.32026370827448	0.171979284058091	23.1671748682315	0.242274329083362	0.30235315055048
Z1290	-1.98160535794893	-2.32484366357359	-0.972793473269398	1.02956798292461	1.00285590996662	1.96979286079487	-0.610547284674423	22.3582601966924	0.296211884866328	0.403273563020404
Z1291	-1.23310440581752	-0.513267248125222	-1.2512497471971	2.07321139428779	-0.924124138853623	2.15121580626739	-0.556829525441896	24.3299897085691	-0.841143161827075	0.27262620995341
Z1292	-1.56978188452097	-1.05703565652743	-1.11607297999059	1.21887519348102	-0.567637520403917	-1.35936975186527	-1.31427100804011	22.4088173636636	-1.13663853387111	0.202715471524174
Z1293	-1.92509985211144	-1.05703565652743	-1.51732994954547	0.734709007138493	-0.756866490780137	-1.55556072684991	-1.33853256655913	23.0850194719034	0.521899517166256	-1.28499171067819
Z1294	-2.3125087201433	-1.55275395134119	-2.42295312544611	2.37808221796079	-0.354596943529982	-2.06606910985647	-1.1446776715309	22.2002690499074	0.321729937540121	-0.80002764703927
Z1295	-1.69349415876336	-1.05703565652743	-0.487595081586484	-0.842338702084591	-0.54219515937165	-1.24941666144896	-1.23310440581752	21.9474832150514	-0.312907767267732	-0.45385517864976
Z1296	-1.05264582452525	-1.55275395134119	-0.0831466413752392	1.32026370827448	-0.342117613304056	-1.38737324641957	-0.978193600454602	23.1798141599743	-0.35727821898424	-0.592452643374066
Z1297	-0.584472776550159	0.415131671485675	-1.62694713195182	1.64290975491107	-0.763586346156555	-1.24941666144896	-0.9863477068376	21.9285242774372	-1.64615300274914	0.588458025948809
Z1298	-1.90412241066893	-1.55275395134119	-0.276110513195674	0.838755680358636	-1.56121133431942	-1.72605593984925	-0.95941564319668	23.9002537893139	-0.586464236954869	-1.63328229572298
Z1299	0.868953025561917	1.90928838679906	-1.4613880830872	0.935758408142331	-0.549985502506322	-2.22465484653288	-2.00609558455671	22.3266619673354	-1.22240931566919	0.267405939935071
Z1300	-0.768085463773703	-0.00587232221150073	-0.461307070051608	0.329691337938728	-1.1446776715309	-1.9525735550816	-2.47330774981609	22.1749904664218	-0.377021045223101	-0.686120355931863
Z1301	-0.556829525441896	0.832807780613341	-0.718325040035657	-0.998703343850847	-0.777130705178591	-1.84576474162311	-2.17739460483025	21.9032456939516	-1.26233766440922	0.675543292325161
Z1302	-1.13344336384845	-2.62356544723427	0.10083843594493	0.249191244920658	-1.43037143636019	-0.742422609172064	-1.02956798292461	22.6110460315484	-1.8366264474114	0.711825308669025
Z1303	-1.26606832644133	0.415131671485675	-1.58432779742426	1.12392657409624	-1.39177913380021	-2.37808221796079	-1.67274498141088	22.1117940077078	-0.291832109766525	-1.62694713195182
Z1304	-1.95824898943319	-2.13454911006882	0.0394384438402853	0.0747314549792498	-0.328805714480055	-0.123632288975132	-1.35305680621606	24.3077563697351	-1.95824898943319	2.03185166811755
Z1305	-2.11845507024714	-1.55275395134119	-0.258721581252981	-1.06292064799232	-1.08080062609834	-1.9525735550816	-2.07321139428779	23.4705178700587	0.411476879057021	-1.99370100994158
Z1306	-2.04525234169923	-1.8187968024737	-0.14733856709942	-1.1223503152479	-0.359067162804187	-1.38737324641957	-2.55203731917739	22.3961780719208	-0.24141053582553	-0.706431755307873
Z1307	-0.905006681735477	-0.779401956158053	-0.680822303269855	1.21887519348102	-0.227613849149842	-1.32428533265545	-0.95941564319668	22.8448729287902	-0.059597043715814	0.16007165170581
Z1308	-0.399636370368616	0.415131671485675	-1.30046855054918	0.166873125305266	0.195869663850073	-1.28883201692769	-1.57266451988582	22.9902247838324	-0.318198102488093	0.104211713336949
Z1309	-2.22465484653288	-1.8187968024737	-0.0167787542766848	-0.211286150498481	-0.640129589735927	-0.577520811321911	-1.96979286079487	21.8590081728518	-2.49158266814641	1.8187968024737
Z1310	-1.29269142546697	0.415131671485675	-2.24503743309249	0.640129589735927	-0.152428819165975	-1.45895202236283	-1.87902584855177	21.8526885269804	0.196724881402485	-0.396911943815029
Z1311	-0.723764749436104	-0.779401956158053	-0.560752117439013	1.46383284726787	-0.0680031427439208	-1.28883201692769	-1.99370100994158	23.2430106186883	-0.465042618140568	0.131243950293231
Z1312	-1.11451050346997	-0.00587232221150073	0.3350105402851	-1.42804194507179	-1.15116264948193	-1.16098189148808	-0.751292614557305	23.2935677856595	0.211286150498481	-1.76055793854814
Z1313	-1.4516953049138	0.415131671485675	-2.62356544723427	-0.513267248125222	0.583477915405367	-1.24941666144896	-0.80002764703927	23.3757231819877	1.045374176548	-0.154975418791538
Z1314	-1.21010582970915	0.415131671485675	-2.49158266814641	0.166873125305266	-0.288332319859465	-1.62694713195182	-0.751292614557305	23.5779518498725	0.44087446289495	-0.658775159900992
Z1315	-0.818651501313193	-0.779401956158053	0.399636370368616	0.0747314549792498	-1.08987151549386	-1.55556072684991	-2.12643324431115	22.2824244462356	-0.680822303269855	0.0688440071915934
Z1316	-0.423375360440838	-1.55275395134119	0.062958944731652	-0.129551828283196	2.12643324431115	-0.321729937540121	1.46383284726787	25.5812795911062	0.848334564402416	1.30046855054918
Z1317	-0.267405939935071	-1.32630420123856	1.035285766039	-0.297965382412871	0.283962538025026	0.499914605676135	0.711825308669025	25.0061918168088	-0.407827574699972	0.694637566974097
Z1318	-1.34887795125882	-0.513267248125222	-0.944895592230952	-1.26047890438679	0.901222783434718	0.657733324865666	0.406004960240727	25.0504293379086	-0.178794501455343	0.851946761779426
Z1319	0.373420719045288	-0.513267248125222	-0.913886593106764	0.531536789944897	2.53084386749585	1.03672050871027	1.1414531628628	24.7597256278242	1.42804194507179	0.745741982441963
Z1320	0.697844524165601	1.22773930638107	-1.95824898943319	0.249191244920658	2.03185166811755	0.742422609172064	0.584472776550159	24.1404003324271	1.2567743920308	0.794264442916235
Z1321	0.273496973869322	-0.00587232221150073	0.0293656623019709	-0.297965382412871	0.543167144971274	0.197580242863137	1.44451423839419	25.404329506707	-0.279598171759925	0.347459261819298
Z1322	0.813969104178664	-0.256120103726647	0.591453104871977	-0.718325040035657	1.60832329691113	0.742422609172064	0.627822107629449	24.6333327103963	-0.00671123719240269	0.924124138853623
Z1323	-1.56121133431942	-1.8187968024737	-0.628844081097882	0.0747314549792498	0.921555700047879	0.107586176974488	1.16593375139326	24.6206934186535	1.36573734269357	0.253520358389431
Z1324	-0.741317968551798	-0.256120103726647	-0.643221597286179	-0.129551828283196	0.441799171500367	-0.0553956100113741	1.05703565652743	24.9809132333232	-0.165172045356818	-2.07321139428779
Z1325	1.16759073905627	0.621703961621472	-0.564683356633645	0.0747314549792498	1.5669122346827	0.657733324865666	0.498014395790903	24.6017344810393	0.356384176026004	1.37216079572863
Z1326	-0.255253330464275	-1.05703565652743	0.568623342260895	-0.0134227766806775	0.391471892950593	1.32026370827448	-0.51901780270741	24.2099164370125	-0.495167446261611	1.03242265534943
Z1327	0.41330358518261	-0.00587232221150073	-1.13025972356187	0.734709007138493	1.93047892997785	0.931866306053049	0.291832109766525	25.4612063195496	1.72978886079949	0.478168724940223
Z1328	0.630890001569482	-0.779401956158053	0.337673690799981	0.838755680358636	1.49644337847767	0.297088519455327	0.979548094975444	25.8846225929334	1.16098189148808	0.711825308669025
Z1329	-0.616623233299316	-1.32630420123856	-0.267405939935071	0.640129589735927	1.16262934434702	0.742422609172064	0.755749838349879	23.4452392865731	0.772600183031886	0.57059664632729
Z1330	-0.343007206323244	-1.32630420123856	-1.0497305042425	0.640129589735927	2.42295312544611	0.39781975769856	0.498014395790903	24.0961628113273	0.468784666900063	1.59621066598687
